UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15,Similar School 16,Similar School 17,Similar School 18,Similar School 19,Similar School 20,Similar School 21,Similar School 22,Similar School 23,Similar School 24,Similar School 25,Similar School 26,Similar School 27,Similar School 28,Similar School 29,Similar School 30
102377,217873,199582,218414,198507,101912,101073,198303,178369,154101,217907,150941,145372,152530,154712,139630,151777,229887,207403,224527,181127,107600,182634,215947,176947,220701,232089,218919,198862,189848,219790
102395,245847,448804,174507,172608,245883,193751,430670,245838,443340,120768,177986,245892,440828,192554,260956,166717,169220,177038,167181,123448,166045,228866,213446,147590,127653,105367,116712,110778,475732,209108
102553,10236809,147776,161873,151102,155061,18017901,141644,190576,225414,126580,174020,185129,207263,127918,110486,225432,190637,167729,217420,138789,151379,180814,159939,155025,210146,160038,225502,228529,159717,136172
102614,161253,126562,202134,159647,219356,219471,147703,185828,171128,133669,204015,166513,126775,163851,211361,178420,187648,162584,183044,110495,218061,228796,231624,230728,240727,141565,240277,182290,228705,156125
102632,208646,240754,155061,229780,209506,441900,159382,219046,187046,203757,175078,225502,207306,176026,180522,451671,100812,187648,173124,145336,180416,161217,240426,479956,196185,141565,230782,234915,115083,176035
102669,160065,234915,179450,455664,142832,475608,143978,105367,146241,179812,181604,141644,203757,240213,459745,131450,11508303,11508305,11508306,193894,131973,239318,219639,220996,449870,157298,126049,11917301,127273,245883
103361,181765,187976,383996,200226,161244,187620,215309,187994,180081,235167,230728,207500,230764,407009,163912,161235,188003,240277,232681,240444,232566,159391,110705,240480,153658,161572,240727,228723,436836,110644
103787,220206,137953,11577301,231420,190248,210304,195173,237358,194392,154855,146825,181738,152363,216542,129774,164614,207689,222877,181853,220808,227429,199582,138293,220181,197993,235769,245953,157100,225885,217606
104151,234030,209551,209542,104179,182290,126818,145600,230764,134097,100663,200332,157289,141574,187985,228723,240444,23693901,23693902,23693903,155317,221759,174066,126614,178396,139959,236939,228787,236948,229115,218663
104179,145600,157289,141574,187985,209542,104151,209551,174066,137351,236948,234030,216339,228778,204796,225511,201885,122409,110583,139940,178402,240453,172644,228723,126614,229027,23693903,23693901,23693902,126818,181464
104188,402776,222938,458982,119775,142887,134811,210942,449010,458496,197832,148177,173887,178226,146010,113582,450094,447458,121381,451820,126702,443687,145460,451796,117928,208239,441973,117113,367194,377546,112570
104586,198969,230852,101693,140872,206330,156286,219000,154004,123554,149028,168227,201371,238078,147244,238324,113698,213507,219833,203845,117751,212197,198695,180106,150677,174491,156213,150604,204185,161572,154101
104665,221254,165495,445267,480189,440411,235422,377546,209533,130110,414878,230825,234492,117168,461847,126702,112570,164872,206330,141167,450766,117672,204990,173887,384421,172608,476717,156417,451398,239080,152381
104717,23368404,23368407,45897302,45897301,45316306,43018402,44378405,43018403,45316304,45891903,23368408,45897304,43018404,44378403,44903801,44903802,43018401,23368409,45897303,23368411,44903804,23368405,23368403,23368402,23368401,13180301,44903803,44378406,45321501,45316301
105330,149222,155399,200280,176372,172699,150136,229115,238032,147703,127741,230728,217484,173920,199148,157951,237525,164076,207388,237011,154095,176017,203517,100751,141264,212115,182290,240365,231174,209542,23693901
105367,245883,245892,123448,155900,116712,122117,442949,160065,445735,202806,480198,172033,110060,247825,155636,123633,164872,428259,442897,457697,132842,455664,142832,114813,127714,11508303,11508305,11508306,143978,234915
